hogar_id,conglome,vivienda,hogar,ubigeo,factor_expansion_anual,target_pobreza_monetaria_bin,usa_combustible_limpio,usa_combustible_precario,dispositivo_servicio_digital_2,material_techo,nivel_educativo_jefe_ord,dispositivo_servicio_digital_3,piso_precario,ingreso_neto_total_hogar,num_habitaciones,acceso_internet_hogar_derivado,dispositivo_servicio_digital_1,material_pared,tam_hogar,num_ninos_0_5,num_ninos_6_16,num_miembros_afiliados_essalud,estrato_geografico,monto_juntos,acceso_desague_red,monto_bono_gas,monto_pension_65,num_miembros_sin_atencion_salud,acceso_agua_red,num_miembros_con_enfermedad_4_sem,monto_programa_contigo,agua_potable_reportada,tipo_vivienda,monto_otras_transferencias_publicas,monto_bono_electricidad,num_miembros_con_sintoma_4_sem
040103_005511_097_11,005511,097,11,040103,803.9254,0,1,0,pase,"planchas de calamina, fibra de cemento o similares",3.0,conexion movil prepago,1,13705.298828125,1.0,1,pase,piedra o sillar con cal o cemento,2,0,0,2, de 500 000 a más habitantes,0,1,0,0,1,1,1,0,1,"vivienda en casa de vecindad (callejon, solar o corralon)",0,0,1
040103_005511_142_11,005511,142,11,040103,803.9254,0,1,0,conexion movil post pago control,"planchas de calamina, fibra de cemento o similares",8.0,conexion movil prepago,0,69114.0625,3.0,1,pase,ladrillo o bloque de cemento,4,0,2,4, de 500 000 a más habitantes,0,1,0,0,2,1,0,0,1,casa independiente,0,0,3
040129_015527_001_11,015527,001,11,040129,39.09841,0,1,0,conexion movil post pago control,concreto armado,6.0,pase,0,41612.12890625,4.0,1,pase,ladrillo o bloque de cemento,3,0,0,0, de 500 000 a más habitantes,0,1,0,0,2,1,2,0,1,departamento en edificio,0,0,1
040129_015527_017_11,015527,017,11,040129,39.09841,0,1,0,pase,concreto armado,8.0,pase,0,49222.73046875,5.0,1,conexion fija,ladrillo o bloque de cemento,3,0,0,1, de 500 000 a más habitantes,0,1,0,0,3,1,0,0,1,"vivienda en casa de vecindad (callejon, solar o corralon)",0,0,3
040129_015527_031_11,015527,031,11,040129,39.09841,0,1,0,pase,concreto armado,11.0,conexion movil prepago,0,147908.421875,5.0,1,conexion fija,ladrillo o bloque de cemento,5,1,2,5, de 500 000 a más habitantes,0,1,0,0,4,1,4,0,1,casa independiente,0,0,0
040129_015527_062_11,015527,062,11,040129,39.09841,0,1,0,pase,concreto armado,8.0,pase,0,205679.0,4.0,1,conexion fija,ladrillo o bloque de cemento,5,0,0,1, de 500 000 a más habitantes,0,1,0,0,2,1,0,0,1,departamento en edificio,24810,0,2
040129_015527_093_11,015527,093,11,040129,39.09841,0,1,0,pase,concreto armado,4.0,pase,0,130236.7265625,8.0,1,conexion fija,ladrillo o bloque de cemento,4,0,0,2, de 500 000 a más habitantes,0,1,0,0,3,1,0,0,1,casa independiente,14377,0,1
040129_015527_108_11,015527,108,11,040129,39.09841,0,1,0,pase,concreto armado,8.0,conexion movil prepago,0,53458.26953125,3.0,1,pase,ladrillo o bloque de cemento,3,0,0,1, de 500 000 a más habitantes,0,1,0,0,1,1,0,0,1,casa independiente,2977,0,2
040129_015527_122_11,015527,122,11,040129,39.09841,0,1,0,pase,concreto armado,8.0,pase,0,50946.73046875,4.0,1,conexion fija,ladrillo o bloque de cemento,4,0,1,3, de 500 000 a más habitantes,0,1,0,0,2,1,0,0,1,casa independiente,0,0,2
040104_015545_010_11,015545,010,11,040104,286.62033,0,1,0,conexion movil post pago control,"planchas de calamina, fibra de cemento o similares",8.0,pase,1,20973.30859375,2.0,1,pase,ladrillo o bloque de cemento,2,0,0,1, de 500 000 a más habitantes,0,0,0,0,1,0,0,0,0,casa independiente,0,0,1
040104_015545_018_11,015545,018,11,040104,286.62033,0,1,0,,"planchas de calamina, fibra de cemento o similares",5.0,,0,12756.0,1.0,0,,ladrillo o bloque de cemento,1,0,0,0, de 500 000 a más habitantes,0,0,0,0,0,0,0,0,0,casa independiente,0,0,0
040104_015545_041_11,015545,041,11,040104,286.62033,0,1,0,conexion movil post pago control,"planchas de calamina, fibra de cemento o similares",8.0,pase,0,5491.0546875,2.0,1,pase,ladrillo o bloque de cemento,2,0,0,1, de 500 000 a más habitantes,0,0,310,0,1,0,0,0,0,casa independiente,0,0,2
040104_015545_053_11,015545,053,11,040104,286.62033,0,1,0,,"planchas de calamina, fibra de cemento o similares",4.0,,0,33475.0,2.0,0,,ladrillo o bloque de cemento,1,0,0,0, de 500 000 a más habitantes,0,0,0,0,1,0,0,0,0,casa independiente,0,0,1
040104_015545_064_11,015545,064,11,040104,286.62033,1,0,1,pase,"planchas de calamina, fibra de cemento o similares",6.0,conexion movil prepago,1,44084.81640625,1.0,1,pase,ladrillo o bloque de cemento,3,1,0,0, de 500 000 a más habitantes,1244,0,0,0,0,0,0,0,0,casa independiente,0,0,0
040104_015545_075_11,015545,075,11,040104,286.62033,0,1,0,,"planchas de calamina, fibra de cemento o similares",5.0,,0,19805.083984375,2.0,0,,ladrillo o bloque de cemento,2,0,0,0, de 500 000 a más habitantes,0,0,0,0,0,0,1,0,0,casa independiente,0,0,1
040122_015553_022_11,015553,022,11,040122,253.19136,0,1,0,conexion movil post pago control,concreto armado,6.0,pase,0,46659.5546875,5.0,1,pase,ladrillo o bloque de cemento,5,0,2,0, de 500 000 a más habitantes,0,1,0,0,0,1,0,0,1,casa independiente,0,0,0
040122_015553_044_11,015553,044,11,040122,253.19136,0,1,0,conexion movil post pago control,concreto armado,10.0,pase,0,54955.55859375,8.0,1,conexion fija,ladrillo o bloque de cemento,4,0,1,2, de 500 000 a más habitantes,0,1,0,0,0,1,0,0,1,casa independiente,0,0,1
040122_015553_084_11,015553,084,11,040122,253.19136,0,1,0,pase,concreto armado,2.0,conexion movil prepago,0,15344.3955078125,3.0,1,pase,ladrillo o bloque de cemento,3,0,0,0, de 500 000 a más habitantes,0,1,0,0,2,1,1,0,1,casa independiente,0,0,1
040122_015553_111_11,015553,111,11,040122,253.19136,0,1,0,conexion movil post pago control,concreto armado,6.0,pase,0,60349.55859375,5.0,1,conexion fija,ladrillo o bloque de cemento,7,0,0,1, de 500 000 a más habitantes,0,1,0,0,2,1,2,0,1,casa independiente,0,0,1
040122_015553_133_11,015553,133,11,040122,253.19136,0,1,0,conexion movil post pago control,concreto armado,8.0,pase,0,53711.63671875,3.0,1,conexion fija,ladrillo o bloque de cemento,6,2,1,1, de 500 000 a más habitantes,0,1,0,0,0,1,2,0,1,casa independiente,5334,0,1
040122_015553_156_11,015553,156,11,040122,253.19136,0,1,0,pase,concreto armado,7.0,conexion movil prepago,0,26441.0,3.0,1,conexion fija,ladrillo o bloque de cemento,4,0,1,2, de 500 000 a más habitantes,0,1,0,0,0,1,2,0,1,casa independiente,0,0,0
040122_015553_200_11,015553,200,11,040122,253.19136,0,1,0,pase,concreto armado,6.0,conexion movil prepago,0,12802.224609375,4.0,1,pase,ladrillo o bloque de cemento,2,0,0,0, de 500 000 a más habitantes,0,1,0,0,0,1,0,0,1,casa independiente,0,0,0
040122_015553_222_11,015553,222,11,040122,253.19136,0,1,0,conexion movil post pago control,concreto armado,6.0,pase,0,21418.48828125,2.0,1,pase,ladrillo o bloque de cemento,2,0,0,0, de 500 000 a más habitantes,0,1,0,0,0,1,1,0,1,casa independiente,0,0,1
040110_015555_016_11,015555,016,11,040110,1084.6403,0,1,0,pase,concreto armado,7.0,pase,0,25031.0,4.0,1,conexion fija,ladrillo o bloque de cemento,7,0,3,2, de 500 000 a más habitantes,0,1,0,0,1,1,1,0,1,casa independiente,7443,0,2
040110_015555_033_11,015555,033,11,040110,1084.6403,0,1,0,,"planchas de calamina, fibra de cemento o similares",5.0,,0,19328.19921875,2.0,1,conexion fija,ladrillo o bloque de cemento,3,0,0,0, de 500 000 a más habitantes,0,1,0,0,0,1,0,0,1,casa independiente,0,0,0
040110_015555_047_11,015555,047,11,040110,1084.6403,0,1,0,conexion movil post pago control,concreto armado,6.0,pase,0,36612.0390625,1.0,1,conexion fija,ladrillo o bloque de cemento,3,0,1,2, de 500 000 a más habitantes,0,1,0,0,0,1,1,0,1,casa independiente,0,0,1
040110_015555_080_11,015555,080,11,040110,1084.6403,1,1,0,,"planchas de calamina, fibra de cemento o similares",3.0,,0,8246.0,1.0,0,,ladrillo o bloque de cemento,2,0,0,0, de 500 000 a más habitantes,0,1,0,0,1,1,1,0,1,"vivienda en casa de vecindad (callejon, solar o corralon)",0,0,1
040110_015555_097_11,015555,097,11,040110,1084.6403,0,1,0,conexion movil post pago control,concreto armado,8.0,conexion movil prepago,0,42557.07421875,2.0,1,pase,ladrillo o bloque de cemento,7,0,4,1, de 500 000 a más habitantes,0,1,0,0,3,1,3,0,1,casa independiente,0,0,0
040110_015555_112_11,015555,112,11,040110,1084.6403,0,1,0,,concreto armado,6.0,,0,47021.1328125,2.0,1,conexion fija,ladrillo o bloque de cemento,2,0,0,0, de 500 000 a más habitantes,0,1,0,0,0,1,0,0,1,casa independiente,0,0,0
040112_015578_002_11,015578,002,11,040112,286.62036,0,1,0,conexion movil post pago control,"planchas de calamina, fibra de cemento o similares",3.0,pase,0,45610.95703125,2.0,1,pase,piedra con barro,5,0,1,1, de 500 000 a más habitantes,0,0,0,0,1,0,0,0,0,casa independiente,0,0,1
040112_015578_043_11,015578,043,11,040112,286.62036,0,1,0,conexion movil post pago control,concreto armado,6.0,pase,0,24634.1953125,2.0,1,pase,ladrillo o bloque de cemento,4,1,1,0, de 500 000 a más habitantes,0,0,0,0,1,0,0,0,1,casa independiente,0,0,1
040112_015578_050_11,015578,050,11,040112,286.62036,0,1,0,pase,concreto armado,6.0,conexion movil prepago,0,16341.46484375,2.0,1,pase,ladrillo o bloque de cemento,1,0,0,0, de 500 000 a más habitantes,0,0,0,0,1,0,1,0,0,casa independiente,0,0,1
040112_015578_056_11,015578,056,11,040112,286.62036,0,1,0,conexion movil post pago control,"planchas de calamina, fibra de cemento o similares",8.0,pase,0,43898.58203125,2.0,1,pase,ladrillo o bloque de cemento,2,0,0,0, de 500 000 a más habitantes,0,0,0,0,2,0,1,0,0,casa independiente,0,0,1
040112_015578_062_11,015578,062,11,040112,286.62036,0,1,0,pase,"planchas de calamina, fibra de cemento o similares",5.0,conexion movil prepago,0,51310.734375,1.0,1,pase,ladrillo o bloque de cemento,3,0,1,0, de 500 000 a más habitantes,0,0,0,0,3,0,2,0,0,casa independiente,0,0,3
040129_015582_012_11,015582,012,11,040129,253.19136,0,1,0,conexion movil post pago control,concreto armado,10.0,pase,0,27812.0,4.0,1,pase,ladrillo o bloque de cemento,1,0,0,1, de 500 000 a más habitantes,0,1,0,0,0,1,0,0,1,departamento en edificio,0,0,0
040129_015582_032_11,015582,032,11,040129,253.19136,0,1,0,conexion movil post pago control,concreto armado,6.0,pase,0,44146.0,3.0,1,conexion fija,ladrillo o bloque de cemento,5,0,3,5, de 500 000 a más habitantes,1244,1,0,0,2,1,2,0,1,casa independiente,0,0,3
040129_015582_072_11,015582,072,11,040129,253.19136,1,1,0,conexion movil post pago control,concreto armado,3.0,pase,0,24897.6484375,5.0,1,conexion fija,ladrillo o bloque de cemento,6,1,1,2, de 500 000 a más habitantes,0,1,0,0,3,1,1,0,1,casa independiente,0,0,5
040129_015582_092_11,015582,092,11,040129,253.19136,0,1,0,conexion movil post pago control,concreto armado,10.0,pase,0,70513.0,4.0,1,pase,ladrillo o bloque de cemento,1,0,0,1, de 500 000 a más habitantes,0,1,0,0,1,1,1,0,1,casa independiente,0,0,1
040129_015582_112_11,015582,112,11,040129,253.19136,0,1,0,conexion movil post pago control,concreto armado,10.0,pase,0,192553.0,4.0,1,conexion fija,ladrillo o bloque de cemento,6,0,3,4, de 500 000 a más habitantes,0,1,0,0,0,1,0,0,1,departamento en edificio,0,0,0
040129_015582_131_11,015582,131,11,040129,253.19136,0,1,0,conexion movil post pago control,concreto armado,11.0,pase,0,131847.375,3.0,1,pase,ladrillo o bloque de cemento,4,0,1,2, de 500 000 a más habitantes,0,1,0,0,1,1,0,0,1,casa independiente,0,0,1
040101_015602_028_11,015602,028,11,040101,208.97969,0,1,0,pase,concreto armado,6.0,pase,0,53200.60546875,5.0,1,conexion fija,ladrillo o bloque de cemento,3,0,0,2, de 500 000 a más habitantes,0,1,0,0,0,1,0,0,1,casa independiente,13025,0,0
040101_015602_079_11,015602,079,11,040101,208.97969,0,1,0,conexion movil post pago control,concreto armado,10.0,pase,0,26352.083984375,4.0,1,conexion fija,ladrillo o bloque de cemento,1,0,0,1, de 500 000 a más habitantes,0,1,0,0,0,1,0,0,1,departamento en edificio,7443,0,0
040103_015622_018_11,015622,018,11,040103,286.62036,0,1,0,pase,"planchas de calamina, fibra de cemento o similares",7.0,conexion movil prepago,0,16390.353515625,1.0,1,pase,ladrillo o bloque de cemento,4,1,1,4, de 500 000 a más habitantes,0,0,0,0,1,0,1,0,1,casa independiente,0,0,1
040103_015622_025_11,015622,025,11,040103,286.62036,0,1,0,conexion movil post pago control,concreto armado,7.0,pase,0,40835.98046875,6.0,1,conexion fija,ladrillo o bloque de cemento,1,0,0,1, de 500 000 a más habitantes,0,0,0,0,0,0,0,0,0,casa independiente,0,0,0
040103_015622_050_11,015622,050,11,040103,286.62036,0,1,0,pase,"planchas de calamina, fibra de cemento o similares",8.0,conexion movil prepago,0,10093.97265625,1.0,1,pase,ladrillo o bloque de cemento,1,0,0,0, de 500 000 a más habitantes,0,0,0,0,1,0,1,0,1,casa independiente,0,0,1
040103_015622_055_11,015622,055,11,040103,286.62036,0,1,0,pase,concreto armado,6.0,conexion movil prepago,0,33685.203125,3.0,1,pase,ladrillo o bloque de cemento,4,1,1,0, de 500 000 a más habitantes,0,0,0,0,0,0,0,0,1,casa independiente,0,0,0
040102_015628_009_11,015628,009,11,040102,253.19136,0,1,0,conexion movil post pago control,concreto armado,7.0,conexion movil prepago,0,73480.859375,6.0,1,pase,ladrillo o bloque de cemento,6,1,1,0, de 500 000 a más habitantes,0,1,0,0,2,1,0,0,1,casa independiente,0,0,4
040102_015628_059_11,015628,059,11,040102,253.19136,0,1,0,conexion movil post pago control,"planchas de calamina, fibra de cemento o similares",9.0,pase,0,77975.09375,3.0,1,pase,ladrillo o bloque de cemento,4,1,0,0, de 500 000 a más habitantes,0,1,0,0,2,1,0,0,1,casa independiente,0,0,2
040102_015628_075_11,015628,075,11,040102,253.19136,0,1,0,conexion movil post pago control,concreto armado,10.0,pase,0,74592.8984375,4.0,1,conexion fija,ladrillo o bloque de cemento,4,0,2,1, de 500 000 a más habitantes,0,1,0,0,0,1,0,0,1,casa independiente,4900,0,1
040102_015628_108_11,015628,108,11,040102,253.19136,0,1,0,conexion movil post pago control,concreto armado,10.0,conexion movil prepago,0,55279.3671875,6.0,1,conexion fija,ladrillo o bloque de cemento,3,0,0,3, de 500 000 a más habitantes,0,1,0,0,0,1,0,0,1,casa independiente,9304,0,0
040121_015659_007_11,015659,007,11,040121,179.28735,0,1,0,,"planchas de calamina, fibra de cemento o similares",5.0,,0,13089.4462890625,1.0,0,,ladrillo o bloque de cemento,1,0,0,1,de 2 000 a 19 999 habitantes,0,1,0,0,0,1,0,0,1,casa independiente,0,0,0
040121_015659_026_11,015659,026,11,040121,179.28735,0,1,0,,concreto armado,6.0,,0,22176.634765625,1.0,1,conexion fija,ladrillo o bloque de cemento,2,0,1,0,de 2 000 a 19 999 habitantes,0,1,0,0,0,1,0,0,1,casa independiente,0,0,0
040121_015659_045_11,015659,045,11,040121,179.28735,0,1,0,,"planchas de calamina, fibra de cemento o similares",1.0,,0,9188.4345703125,1.0,0,,ladrillo o bloque de cemento,1,0,0,1,de 2 000 a 19 999 habitantes,0,1,0,0,0,1,0,0,1,casa independiente,5954,0,0
040121_015659_060_11,015659,060,11,040121,179.28735,0,1,0,conexion movil post pago control,concreto armado,3.0,pase,0,13135.8193359375,2.0,1,pase,ladrillo o bloque de cemento,1,0,0,0,de 2 000 a 19 999 habitantes,0,1,0,0,1,1,0,0,1,casa independiente,0,0,1
040121_015659_084_11,015659,084,11,040121,179.28735,0,1,0,pase,concreto armado,5.0,conexion movil prepago,0,19169.80078125,4.0,1,pase,ladrillo o bloque de cemento,3,0,1,3,de 2 000 a 19 999 habitantes,0,1,0,0,1,1,0,0,1,casa independiente,0,0,1
040121_015659_140_11,015659,140,11,040121,179.28735,1,0,1,,concreto armado,4.0,,0,3663.133544921875,2.0,0,,ladrillo o bloque de cemento,2,0,0,2,de 2 000 a 19 999 habitantes,0,1,0,0,1,1,1,0,1,casa independiente,0,0,0
040301_015675_027_11,015675,027,11,040301,317.91534,0,1,0,conexion movil post pago control,concreto armado,6.0,pase,0,58539.703125,4.0,1,conexion fija,ladrillo o bloque de cemento,3,0,0,1,de 2 000 a 19 999 habitantes,0,1,0,0,1,1,0,0,1,casa independiente,0,0,1
040301_015675_041_11,015675,041,11,040301,317.91534,0,1,0,conexion movil post pago control,"planchas de calamina, fibra de cemento o similares",10.0,pase,0,228743.984375,4.0,1,conexion fija,ladrillo o bloque de cemento,3,0,1,0,de 2 000 a 19 999 habitantes,0,1,0,0,2,1,0,0,1,casa independiente,0,0,2
040301_015675_067_11,015675,067,11,040301,317.91534,0,1,0,conexion movil post pago control,concreto armado,6.0,pase,0,59035.67578125,5.0,1,pase,ladrillo o bloque de cemento,2,0,0,2,de 2 000 a 19 999 habitantes,0,1,0,0,0,1,0,0,1,casa independiente,31633,0,0
040301_015675_081_11,015675,081,11,040301,317.91534,0,1,0,,concreto armado,4.0,,0,21222.419921875,3.0,1,conexion fija,ladrillo o bloque de cemento,2,0,0,0,de 2 000 a 19 999 habitantes,0,1,0,0,2,1,0,0,1,casa independiente,0,0,2
040301_015675_094_11,015675,094,11,040301,317.91534,0,1,0,pase,concreto armado,6.0,conexion movil prepago,0,15598.279296875,3.0,1,pase,ladrillo o bloque de cemento,2,0,0,0,de 2 000 a 19 999 habitantes,0,1,0,0,2,1,0,0,1,casa independiente,0,0,2
040301_015675_109_11,015675,109,11,040301,317.91534,0,1,0,conexion movil post pago control,concreto armado,8.0,pase,0,36133.25390625,4.0,1,pase,ladrillo o bloque de cemento,2,0,0,1,de 2 000 a 19 999 habitantes,0,1,0,0,2,1,0,0,1,casa independiente,7939,0,2
040128_015716_005_11,015716,005,11,040128,286.62036,0,1,0,,concreto armado,6.0,,0,26919.1484375,3.0,0,,ladrillo o bloque de cemento,3,1,1,3, de 20 000 a 49 999 habitantes,0,1,0,0,3,1,0,0,1,casa independiente,0,0,3
040128_015716_016_11,015716,016,11,040128,286.62036,0,1,0,,concreto armado,4.0,,0,24223.27734375,3.0,0,,ladrillo o bloque de cemento,3,0,1,0, de 20 000 a 49 999 habitantes,0,1,0,0,1,1,0,0,1,casa independiente,0,0,1
040128_015716_026_11,015716,026,11,040128,286.62036,0,1,0,conexion movil post pago control,concreto armado,10.0,pase,0,45020.7578125,2.0,1,conexion fija,ladrillo o bloque de cemento,1,0,0,1, de 20 000 a 49 999 habitantes,0,1,0,0,0,1,0,0,1,casa independiente,0,0,0
040128_015716_048_11,015716,048,11,040128,286.62036,0,1,0,conexion movil post pago control,concreto armado,3.0,pase,0,13429.42578125,2.0,1,pase,ladrillo o bloque de cemento,1,0,0,0, de 20 000 a 49 999 habitantes,0,1,0,0,1,1,0,0,1,casa independiente,0,0,1
040128_015716_058_11,015716,058,11,040128,286.62036,0,1,0,conexion movil post pago control,concreto armado,6.0,pase,0,21671.134765625,2.0,1,pase,ladrillo o bloque de cemento,3,0,0,2, de 20 000 a 49 999 habitantes,0,1,0,0,2,1,1,0,1,"vivienda en casa de vecindad (callejon, solar o corralon)",0,0,1
040128_015716_069_11,015716,069,11,040128,286.62036,0,1,0,pase,"planchas de calamina, fibra de cemento o similares",5.0,conexion movil prepago,0,18403.357421875,3.0,1,pase,ladrillo o bloque de cemento,1,0,0,0, de 20 000 a 49 999 habitantes,0,1,0,0,0,1,0,0,1,casa independiente,0,0,0
040115_015730_008_11,015730,008,11,040115,286.62036,0,1,0,conexion movil post pago control,"planchas de calamina, fibra de cemento o similares",10.0,pase,0,9675.1796875,2.0,1,pase,ladrillo o bloque de cemento,1,0,0,0,de 2 000 a 19 999 habitantes,0,0,0,0,0,0,0,0,0,casa independiente,0,0,0
040115_015730_041_11,015730,041,11,040115,286.62036,1,1,0,pase,"planchas de calamina, fibra de cemento o similares",6.0,conexion movil prepago,0,13542.0,2.0,1,pase,ladrillo o bloque de cemento,2,0,1,0,de 2 000 a 19 999 habitantes,1244,0,0,0,0,0,0,0,0,casa independiente,0,0,0
040115_015730_063_11,015730,063,11,040115,286.62036,1,1,0,pase,"planchas de calamina, fibra de cemento o similares",6.0,conexion movil prepago,0,23036.05859375,1.0,1,pase,ladrillo o bloque de cemento,3,1,0,0,de 2 000 a 19 999 habitantes,0,0,0,0,3,0,0,0,0,casa independiente,0,0,3
040115_015730_110_11,015730,110,11,040115,286.62036,1,0,1,,"planchas de calamina, fibra de cemento o similares",6.0,,1,15518.7783203125,1.0,0,,ladrillo o bloque de cemento,3,2,0,0,de 2 000 a 19 999 habitantes,0,0,0,0,1,0,0,0,0,casa independiente,0,0,1
040111_015732_017_11,015732,017,11,040111,286.62036,0,1,0,conexion movil post pago control,concreto armado,9.0,pase,0,44352.15234375,3.0,1,pase,ladrillo o bloque de cemento,4,0,2,0,de 2 000 a 19 999 habitantes,0,0,0,0,2,0,2,0,0,casa independiente,0,0,2
040111_015732_035_11,015732,035,11,040111,286.62036,1,1,0,pase,concreto armado,4.0,conexion movil prepago,0,67697.265625,3.0,1,pase,ladrillo o bloque de cemento,3,0,0,0,de 2 000 a 19 999 habitantes,0,0,0,0,1,0,1,0,0,casa independiente,0,0,0
040111_015732_067_11,015732,067,11,040111,286.62036,0,1,0,conexion movil post pago control,"planchas de calamina, fibra de cemento o similares",8.0,pase,0,54800.03125,2.0,1,pase,ladrillo o bloque de cemento,3,1,0,0,de 2 000 a 19 999 habitantes,0,0,0,0,0,0,0,0,0,casa independiente,0,0,0
040111_015732_083_11,015732,083,11,040111,286.62036,0,1,0,conexion movil post pago control,"planchas de calamina, fibra de cemento o similares",6.0,pase,0,40123.62890625,6.0,1,pase,ladrillo o bloque de cemento,6,1,2,1,de 2 000 a 19 999 habitantes,0,0,0,0,3,1,3,0,0,casa independiente,0,0,0
040111_015732_116_11,015732,116,11,040111,286.62036,0,1,0,,"planchas de calamina, fibra de cemento o similares",5.0,,0,38036.47265625,2.0,0,,"madera (pona, tornillo, etc)",5,0,1,0,de 2 000 a 19 999 habitantes,0,0,0,0,3,1,2,0,0,casa independiente,0,0,2
040111_015732_131_11,015732,131,11,040111,286.62036,1,1,0,conexion movil post pago control,"planchas de calamina, fibra de cemento o similares",3.0,pase,0,30140.62109375,2.0,1,pase,ladrillo o bloque de cemento,3,0,0,0,de 2 000 a 19 999 habitantes,0,0,0,0,0,0,0,0,0,casa independiente,0,0,0
040105_015734_003_11,015734,003,11,040105,286.62036,0,1,0,conexion movil post pago control,concreto armado,6.0,conexion movil prepago,0,64372.01953125,5.0,1,pase,ladrillo o bloque de cemento,5,1,1,0,de 2 000 a 19 999 habitantes,0,1,0,0,1,1,4,0,0,casa independiente,27291,0,2
040105_015734_010_11,015734,010,11,040105,286.62036,0,1,0,,"planchas de calamina, fibra de cemento o similares",8.0,,0,55945.4609375,2.0,0,,ladrillo o bloque de cemento,4,1,0,2,de 2 000 a 19 999 habitantes,0,1,0,0,1,1,3,0,0,casa independiente,0,0,3
040105_015734_017_11,015734,017,11,040105,286.62036,1,0,1,,concreto armado,5.0,,0,13679.259765625,3.0,0,,ladrillo o bloque de cemento,3,0,2,0,de 2 000 a 19 999 habitantes,0,1,0,0,1,1,2,0,0,casa independiente,0,0,0
040105_015734_024_11,015734,024,11,040105,286.62036,1,1,0,pase,"planchas de calamina, fibra de cemento o similares",4.0,conexion movil prepago,0,15790.8271484375,2.0,1,conexion fija,piedra o sillar con cal o cemento,4,0,1,0,de 2 000 a 19 999 habitantes,0,1,0,0,1,1,3,0,0,casa independiente,0,0,0
