variable,descripcion,modulo_fuente,tipo_feature,dtype,nulos_pct,requiere_imputacion,requiere_encoding,riesgo_leakage_reportado,dimension_inei,dimension_analitica,subdimension,apta_selectkbest,motivo_selectkbest
combustible_limpio,Uso de combustible limpio para cocinar,Modulo01,binaria,int64,0.0,False,False,bajo,Energia,Energia,Electricidad y combustible,True,Priorizar acceso a electricidad y calidad del combustible; otros p113* son auxiliares de equipamiento/uso.
combustible_precario,Uso de combustible precario para cocinar,Modulo01,binaria,int64,0.0,False,False,bajo,Energia,Energia,Electricidad y combustible,True,Priorizar acceso a electricidad y calidad del combustible; otros p113* son auxiliares de equipamiento/uso.
combustible_principal,Combustible principal para cocinar,Modulo01,categorica,str,0.7251,True,True,bajo,Energia,Energia,Electricidad y combustible,True,Priorizar acceso a electricidad y calidad del combustible; otros p113* son auxiliares de equipamiento/uso.
p1121,Disponibilidad de alumbrado por electricidad,Modulo01,categorica,category,0.0,False,True,bajo,Energia,Energia,Electricidad y combustible,False,Priorizar acceso a electricidad y calidad del combustible; otros p113* son auxiliares de equipamiento/uso.
p112a,Característica asociada al servicio eléctrico del hogar,Modulo01,categorica,category,5.2076,True,True,bajo,Energia,Energia,Electricidad y combustible,False,Priorizar acceso a electricidad y calidad del combustible; otros p113* son auxiliares de equipamiento/uso.
p1131,Equipamiento/uso energético 1 del hogar,Modulo01,categorica,category,0.0,False,True,bajo,Energia,Energia,Electricidad y combustible,False,Priorizar acceso a electricidad y calidad del combustible; otros p113* son auxiliares de equipamiento/uso.
p1132,Equipamiento/uso energético 2 del hogar,Modulo01,categorica,category,0.0,False,True,bajo,Energia,Energia,Electricidad y combustible,False,Priorizar acceso a electricidad y calidad del combustible; otros p113* son auxiliares de equipamiento/uso.
p1133,Equipamiento/uso energético 3 del hogar,Modulo01,categorica,category,0.0,False,True,bajo,Energia,Energia,Electricidad y combustible,False,Priorizar acceso a electricidad y calidad del combustible; otros p113* son auxiliares de equipamiento/uso.
p1135,Equipamiento/uso energético 5 del hogar,Modulo01,categorica,category,0.0,False,True,bajo,Energia,Energia,Electricidad y combustible,False,Priorizar acceso a electricidad y calidad del combustible; otros p113* son auxiliares de equipamiento/uso.
p1136,Equipamiento/uso energético 6 del hogar,Modulo01,categorica,category,0.0,False,True,bajo,Energia,Energia,Electricidad y combustible,False,Priorizar acceso a electricidad y calidad del combustible; otros p113* son auxiliares de equipamiento/uso.
p1137,Equipamiento/uso energético 7 del hogar,Modulo01,categorica,category,0.0,False,True,bajo,Energia,Energia,Electricidad y combustible,False,Priorizar acceso a electricidad y calidad del combustible; otros p113* son auxiliares de equipamiento/uso.
p1139,Equipamiento/uso energético 9 del hogar,Modulo01,categorica,category,0.0,False,True,bajo,Energia,Energia,Electricidad y combustible,False,Priorizar acceso a electricidad y calidad del combustible; otros p113* son auxiliares de equipamiento/uso.
p113a,Combustible principal para cocinar,Modulo01,categorica,category,0.7251,True,True,bajo,Energia,Energia,Electricidad y combustible,False,Priorizar acceso a electricidad y calidad del combustible; otros p113* son auxiliares de equipamiento/uso.
area_rural_bin,Indicador de área rural,Derivada,binaria,int64,0.0,False,False,bajo,No aplica,Geografia y contexto territorial,Contexto espacial/muestral,True,Contexto útil; evaluar según codificación y riesgo de redundancia.
area_urbana_rural,Clasificación urbana o rural,Derivada,categorica,str,0.0,False,True,bajo,No aplica,Geografia y contexto territorial,Contexto espacial/muestral,False,Contexto útil; evaluar según codificación y riesgo de redundancia.
distrito_cod,Código de distrito,Derivada,categorica,str,0.0,False,True,bajo,No aplica,Geografia y contexto territorial,Contexto espacial/muestral,False,Contexto útil; evaluar según codificación y riesgo de redundancia.
dominio,Dominio geográfico,Sumaria,categorica,category,0.0,False,True,bajo,No aplica,Geografia y contexto territorial,Contexto espacial/muestral,False,Contexto útil; evaluar según codificación y riesgo de redundancia.
estrato,Estrato geográfico,Sumaria,categorica,category,0.0,False,True,bajo,No aplica,Geografia y contexto territorial,Contexto espacial/muestral,True,Contexto útil; evaluar según codificación y riesgo de redundancia.
estrsocial,Estrato socioeconómico,Sumaria,categorica,category,0.0,False,True,bajo,No aplica,Geografia y contexto territorial,Contexto espacial/muestral,False,Contexto útil; evaluar según codificación y riesgo de redundancia.
mes,mes de ejecucion de la encuesta,Sumaria,categorica,str,0.0,False,True,bajo,No aplica,Geografia y contexto territorial,Contexto espacial/muestral,False,Contexto útil; evaluar según codificación y riesgo de redundancia.
nconglome,Número de conglomerado en el marco,Sumaria,categorica,str,0.0,False,True,bajo,No aplica,Geografia y contexto territorial,Contexto espacial/muestral,False,Contexto útil; evaluar según codificación y riesgo de redundancia.
provincia_cod,Código de provincia,Derivada,categorica,str,0.0,False,True,bajo,No aplica,Geografia y contexto territorial,Contexto espacial/muestral,False,Contexto útil; evaluar según codificación y riesgo de redundancia.
sub_conglome,Número de subconglomerado,Sumaria,categorica,str,0.0,False,True,bajo,No aplica,Geografia y contexto territorial,Contexto espacial/muestral,False,Contexto útil; evaluar según codificación y riesgo de redundancia.
ubigeo,Ubicación geográfica,Sumaria,categorica,str,0.0,False,True,bajo,No aplica,Geografia y contexto territorial,Contexto espacial/muestral,False,Contexto útil; evaluar según codificación y riesgo de redundancia.
g05hd,gastos por alimentos consumidos fuera del hogar - pago,Sumaria,numerica,float32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
g05hd1,gastos por alimentos consumidos fuera del hogar en otro hogar- pago,Sumaria,numerica,float32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
g05hd2,gastos por alimentos consumidos fuera del hogar prepara sus alimentos - pago,Sumaria,numerica,float32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
g07hd,g07hd,Sumaria,numerica,float32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
ga03hd,gasto por alquiler,Sumaria,numerica,float32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
ga04hd,gasto por alquiler imputado,Sumaria,numerica,float64,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
gashog1d,ingreso neto,Sumaria,numerica,float64,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
gasto_hogar,Gasto total del hogar,Sumaria,numerica,float64,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
gru14hd1,gru14hd1,Sumaria,numerica,float32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
gru14hd2,gru14hd2,Sumaria,numerica,float32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
gru14hd4,gru14hd4,Sumaria,numerica,float32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
gru42hd1,gru42hd1,Sumaria,numerica,float32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
gru42hd2,gru42hd2,Sumaria,numerica,float32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
gru43hd1,gru43hd1,Sumaria,numerica,float32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
gru43hd2,gru43hd2,Sumaria,numerica,float32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
gru43hd3,gru43hd3,Sumaria,numerica,float32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
gru71hd,grupo 7: transporte - gasto,Sumaria,numerica,float32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
gru72hd1,"grupo 7: transporte movilidad escolar- autoconsumo, autosuministro",Sumaria,numerica,float32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
gru73hd1,grupo 7: transporte movilidad escolar- pago en especie,Sumaria,numerica,float32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
gru73hd2,gru73hd2,Sumaria,numerica,float32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
gru73hd3,gru73hd3,Sumaria,numerica,float32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
gru74hd,grupo 7: transporte - donacion publica,Sumaria,numerica,float32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
gru81hd,grupo 8: comunicaciones - gasto,Sumaria,numerica,float32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
gru82hd1,gru82hd1,Sumaria,numerica,float32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
gru82hd2,gru82hd2,Sumaria,numerica,float32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
gru83hd1,gru83hd1,Sumaria,numerica,float32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
gru83hd2,gru83hd2,Sumaria,numerica,float32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
gru83hd3,gru83hd3,Sumaria,numerica,float32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
gru83hd4,gru83hd4,Sumaria,numerica,float32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
gru84hd,grupo 8: comunicaciones - donacion publica,Sumaria,numerica,float32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
gru84hd1,gru84hd1,Sumaria,numerica,float32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
gru85hd1,gru85hd1,Sumaria,numerica,float32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
gru86hd1,gru86hd1,Sumaria,numerica,float32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
gru87hd,"grupo 8: comunicaciones - no gasto, no sabe",Sumaria,numerica,float32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
ia01hd,ingreso alquiler imputado de la vivienda,Sumaria,numerica,float64,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
ia02hd,ingreso por transferencia de alquiler,Sumaria,numerica,float32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
ig03hd1,"credito, compra casa, departamento",Sumaria,numerica,int32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
ig03hd2,"credito, compra terreno para vivienda",Sumaria,numerica,int32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
ig03hd3,"credito, mejoramiento y/o ampliacion de la vivienda",Sumaria,numerica,int32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
ig03hd4,"credito, construccion de nueva vivienda",Sumaria,numerica,int32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
ig06hd,ingresos y gastos por alimentos consumidos fuera del hogar-no pago,Sumaria,numerica,float32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
ig06hd1,ingresos y gastos por alimentos consumidos fuera del hogar - otro hogar-no pago,Sumaria,numerica,float32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
ig06hd2,ingresos y gastos por alimentos consumidos fuera del hogar - prepara sus aliment,Sumaria,numerica,float32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
ig08hd,ig08hd,Sumaria,numerica,float32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
ingauthd,ingreso por autoconsumo de la actividad principal independiente,Sumaria,numerica,int32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
ingbruhd,ingreso bruto actividad principal monetaria (dependiente),Sumaria,numerica,float64,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
ingexthd,ingresos extraordinarios por trabajo,Sumaria,numerica,int32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
inghog2d,ingreso neto total,Sumaria,numerica,float64,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
ingindhd,ingreso por actividad principal independiente,Sumaria,numerica,float64,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
ingmo1hd,ingreso monetario (bruto),Sumaria,numerica,float64,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
ingmo2hd,ingreso monetario (neto),Sumaria,numerica,float64,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
ingnethd,ingreso neto de la actividad principal monetario (dependiente),Sumaria,numerica,float64,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
ingoexhd,otros ingresos extraordinarios,Sumaria,numerica,int32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
ingrenhd,ingreso por rentas de la propiedad monetaria,Sumaria,numerica,int32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
ingseihd,ingreso neto de la actividad secundaria independiente,Sumaria,numerica,float64,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
ingtexhd,ingreso por transferencias corrientes del extranjero,Sumaria,numerica,int32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
ingtprhd,ingreso por transferencias corrientes privada,Sumaria,numerica,int32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
ingtpu01,ingreso por transferencias corrientes publicas: juntos,Sumaria,numerica,int16,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
